ts,arm,task,rep,cost_usd,input,cache_create,cache_read,output,sec,accuracy
2026-07-14T12:55:34,baseline,T1,1,0.29590949999999994,6157,14596,186129,1044,24,PASS
2026-07-14T12:56:00,baseline,T1,2,0.3086195,6157,15363,188509,1198,26,PASS
2026-07-14T12:56:28,baseline,T1,3,0.287059,6341,12765,199158,1125,28,PASS
2026-07-14T12:57:15,headroom,T1,1,0.5220367499999999,25986,32632,274481,1567,46,PASS
2026-07-14T12:57:51,headroom,T1,2,0.57139475,34310,41026,199067,1286,36,PASS
2026-07-14T12:58:32,headroom,T1,3,0.5246329999999999,39504,30201,176181,1541,41,PASS
2026-07-14T12:59:02,scrooge,T1,1,0.3130075,6157,15456,191425,1278,30,PASS
2026-07-14T12:59:29,scrooge,T1,2,0.29928049999999995,6337,15866,164071,1076,27,PASS
2026-07-14T12:59:54,scrooge,T1,3,0.3208464999999999,6339,16343,193943,1150,25,PASS
2026-07-14T13:00:21,caveman,T1,1,0.2904525,6842,15031,160865,1020,26,PASS
2026-07-14T13:01:29,caveman,T1,2,0.28965,6983,14924,156640,1087,65,PASS
2026-07-14T13:02:42,caveman,T1,3,0.2872365,6341,12731,199993,1129,71,PASS
2026-07-14T13:03:44,baseline,T2,1,0.32737999999999995,6347,11695,268040,1787,56,PASS
2026-07-14T13:04:54,baseline,T2,2,0.3298295,6347,12145,269939,1667,68,PASS
2026-07-14T13:06:06,baseline,T2,3,0.3624485,6349,13337,307017,1753,68,PASS
2026-07-14T13:07:22,headroom,T2,1,0.57776625,34305,38390,223795,1706,69,PASS
2026-07-14T13:08:35,headroom,T2,2,0.7950153999999999,2,1813,38687,58,69,PASS
2026-07-14T13:09:50,headroom,T2,3,0.42934100000000003,22971,25943,202222,1579,74,PASS
2026-07-14T13:10:32,scrooge,T2,1,0.31261000000000005,6163,12002,247750,1516,42,PASS
2026-07-14T13:11:15,scrooge,T2,2,0.37134849999999997,6340,12876,327427,1887,43,PASS
2026-07-14T13:11:52,scrooge,T2,3,0.313378,6163,12082,248636,1497,37,PASS
2026-07-14T13:14:56,caveman,T2,1,0.358478,6169,12173,319706,1842,184,PASS
2026-07-14T13:15:37,caveman,T2,2,0.3264035,6345,12863,253947,1563,41,PASS
2026-07-14T13:16:28,caveman,T2,3,0.38658699999999996,6171,13173,350804,1944,51,PASS
2026-07-14T13:17:18,baseline,T3,1,0.38954849999999996,6159,17202,222717,3015,50,PASS
2026-07-14T13:18:09,baseline,T3,2,0.38785400000000003,6161,16509,238868,2901,51,PASS
2026-07-14T13:18:53,baseline,T3,3,0.3662075,6337,18183,164135,2825,44,PASS
2026-07-14T13:20:03,headroom,T3,1,0.53142025,24101,33468,179853,4002,70,PASS
2026-07-14T13:21:19,headroom,T3,2,0.5556375,22837,33037,212895,4671,76,PASS
2026-07-14T13:23:16,headroom,T3,3,1.1651558499999999,41424,54649,588277,6505,117,PASS
2026-07-14T13:24:09,scrooge,T3,1,0.3900429999999999,6159,17511,226276,2840,53,PASS
2026-07-14T13:24:56,scrooge,T3,2,0.389982,6343,16970,250934,2524,47,PASS
2026-07-14T13:25:40,scrooge,T3,3,0.3496815,6155,16848,166053,2696,44,PASS
2026-07-14T13:27:44,caveman,T3,1,0.7450135,6532,23832,583067,7300,124,PASS
2026-07-14T13:28:58,caveman,T3,2,0.438601,6159,18055,230462,4481,74,PASS
2026-07-14T13:30:26,caveman,T3,3,0.5465519999999999,6163,20696,298354,6384,88,PASS
2026-07-14T13:30:57,baseline,T4,1,0.262,6206,12570,124290,1725,31,PASS
2026-07-14T13:31:25,baseline,T4,2,0.24738950000000004,6206,11504,123089,1591,28,PASS
2026-07-14T13:31:59,baseline,T4,3,0.2598535,6206,11999,123717,1879,34,PASS
2026-07-14T13:32:42,headroom,T4,1,1.1157137499999998,76408,76143,379155,2258,43,PASS
2026-07-14T13:33:25,headroom,T4,2,0.7687545,58102,47092,234554,2195,43,PASS
2026-07-14T13:34:07,headroom,T4,3,0.726419,65082,38515,192053,2100,41,PASS
2026-07-14T13:34:33,scrooge,T4,1,0.22190150000000003,6022,11135,97933,1259,26,PASS
2026-07-14T13:35:02,scrooge,T4,2,0.24557999999999996,6024,11681,123250,1481,29,PASS
2026-07-14T13:35:29,scrooge,T4,3,0.22391100000000003,6022,11207,97862,1312,27,PASS
2026-07-14T13:36:04,caveman,T4,1,0.265344,6026,11846,146258,1745,35,PASS
2026-07-14T13:36:31,caveman,T4,2,0.24340449999999997,6024,11445,123069,1492,26,PASS
2026-07-14T13:37:04,caveman,T4,3,0.2534615,6206,11814,124033,1691,33,PASS
2026-07-14T13:37:46,baseline,T5,1,0.3111515,6024,15389,132633,2433,42,PASS
2026-07-14T13:40:02,baseline,T5,2,0.6879369999999999,6353,22811,414424,8834,135,PASS
2026-07-14T13:40:59,baseline,T5,3,0.42148149999999995,6343,18048,249473,3382,57,PASS
2026-07-14T13:44:40,headroom,T5,1,1.14012375,35119,52530,482885,15321,221,PASS
2026-07-14T13:45:56,headroom,T5,2,0.535544,30485,25650,227608,3890,76,PASS
2026-07-14T13:47:03,headroom,T5,3,0.72475325,38051,43023,321639,3721,67,PASS
2026-07-14T13:49:32,scrooge,T5,1,0.7181645,6169,25019,377009,9945,149,PASS
2026-07-14T13:50:40,scrooge,T5,2,0.409195,6341,17853,216370,3631,68,PASS
2026-07-14T13:51:40,scrooge,T5,3,0.42628849999999996,6167,16909,314827,2758,60,PASS
2026-07-14T13:54:21,caveman,T5,1,0.7193075000000001,6163,25714,316755,10919,161,PASS
2026-07-14T13:57:23,caveman,T5,2,0.6971460000000002,6169,24019,358722,9870,182,PASS
2026-07-14T13:59:43,caveman,T5,3,0.6734039999999999,6353,22257,404088,8681,140,PASS
2026-07-14T14:00:23,baseline,T6,1,0.3301125,6339,15752,186595,1904,40,PASS
2026-07-14T14:01:02,baseline,T6,2,0.34270800000000007,6341,15640,213906,1906,39,PASS
2026-07-14T14:01:37,baseline,T6,3,0.305617,6155,15293,156074,1755,33,PASS
2026-07-14T14:03:37,headroom,T6,1,0.4319585,15699,23095,226792,3359,106,PASS
2026-07-14T14:05:14,headroom,T6,2,0.41978875000000004,15632,23404,224125,2862,95,PASS
2026-07-14T14:07:22,headroom,T6,3,1.0872775,77253,59845,460615,3397,123,PASS
2026-07-14T14:08:57,scrooge,T6,1,0.39331549999999993,6304,15893,300281,2109,87,PASS
2026-07-14T14:10:00,scrooge,T6,2,0.2796915,6153,14684,132623,1431,60,PASS
2026-07-14T14:11:02,scrooge,T6,3,0.2945735,6337,14762,156237,1486,59,PASS
2026-07-14T14:12:12,caveman,T6,1,0.3224255,6296,15327,187701,1753,64,PASS
2026-07-14T14:13:26,caveman,T6,2,0.3242045,6339,15707,186829,1681,70,PASS
2026-07-14T14:14:28,caveman,T6,3,0.290897,6292,15181,137154,1562,57,PASS
2026-07-14T14:15:20,baseline,T7,1,0.18905500000000003,6204,9702,95330,534,47,PASS
2026-07-14T14:16:05,baseline,T7,2,0.2121865,6204,11825,99583,525,44,PASS
2026-07-14T14:16:54,baseline,T7,3,0.18786299999999997,6022,9634,95026,556,46,PASS
2026-07-14T14:17:56,headroom,T7,1,0.415691,30974,31982,68747,592,55,PASS
2026-07-14T14:19:00,headroom,T7,2,0.572922,59358,33239,75264,760,58,PASS
2026-07-14T14:20:02,headroom,T7,3,0.5868445000000001,69276,26091,85929,907,58,PASS
2026-07-14T14:20:54,scrooge,T7,1,0.190484,6161,9782,98368,507,44,PASS
2026-07-14T14:21:46,scrooge,T7,2,0.190904,6171,9845,97948,505,52,PASS
2026-07-14T14:22:35,scrooge,T7,3,0.17459449999999999,6202,9777,72779,377,46,PASS
2026-07-14T14:23:37,caveman,T7,1,0.18613400000000002,6022,9614,95218,491,52,PASS
2026-07-14T14:24:30,caveman,T7,2,0.187129,6022,9681,95368,501,49,PASS
2026-07-14T14:24:57,caveman,T7,3,0.191052,6173,9875,98124,495,25,PASS
2026-07-14T14:43:10,baseline,T8,1,0.20048149999999998,6204,10150,97273,773,1085,PASS
2026-07-14T14:43:28,baseline,T8,2,0.17803249999999998,6159,9651,74855,532,17,FAIL
2026-07-14T14:44:19,baseline,T8,3,0.34575849999999997,6161,15173,245447,1620,51,PASS
2026-07-14T14:44:50,headroom,T8,1,0.48985724999999997,39668,31113,100767,1397,31,PASS
2026-07-14T14:45:43,headroom,T8,2,0.6376077500000001,53656,28659,252193,2095,53,PASS
2026-07-14T14:46:19,headroom,T8,3,0.37497025000000006,30687,19905,103718,1341,36,PASS
2026-07-14T14:46:38,scrooge,T8,1,0.2090215,6204,10767,96563,882,19,PASS
2026-07-14T14:46:58,scrooge,T8,2,0.215118,6024,10408,120636,824,20,PASS
2026-07-14T14:47:23,scrooge,T8,3,0.229875,6208,10587,144430,830,25,PASS
2026-07-14T14:47:43,caveman,T8,1,0.207777,6204,10654,97734,854,19,PASS
2026-07-14T14:48:11,caveman,T8,2,0.2393855,6165,10847,148581,1032,28,PASS
2026-07-14T14:48:36,caveman,T8,3,0.227019,6206,10942,121588,1031,25,PASS
